"unclassified Methylobacterium","(Genus)Methylobacterium"
"unclassified Dietzia","(Genus)Dietzia"
"unclassified Xanthomonas","(Genus)Xanthomonas"
"Verrucomicrobia incertae sedis","(Phylum)Verrucomicrobia"
"unclassified Brachybacterium","(Genus)Bracybacterium"
"unclassified Bosea","(Genus)Bosea"
"unclassified Sulfurimonas","(Genus)Sulfurimonas"
"unclassified Candidatus Cloacimonates","(Phylum)Candidatus Cloacimonetes"
"unclassified Magnetospirillum","(Genus)Magnetospirillum"
"unclassified Anoxybacillus","(Genus)Anoxybacillus"
"unclassified Nitratiruptor","(Genus)Nitratiruptor"
"unclassified Nostoc","(Genus)Nostoc"
"unclassified Labrenzia","(Genus)Labrenzia"
"unclassified Paenibacillus","(Genus)Paenibacillus"
"Flavobacteriales incertae sedis","(Order)Flavobacteriales"
"Spirochaetales incertae sedis","(Order)Spirochaetales"
"unclassified Mycoplasma","(Genus)Mycoplasma"
"unclassified Prevotella","(Genus)Prevotella"
"Chloroflexi incertae sedis","(Phylum)Chloroflexi"
"unclassified Campylobacter","(Genus)Campylobacter"
"unclassified Treponema","(Genus)Treponema"
"unclassified Sulfurospirillum","(Genus)Sulfurospirillum"
"unclassified Exiguobacterium","(Genus)Exiguobacterium"
"unclassified Macrococcus","(Genus)Macrococcus"
"unclassified Cyanobacteria","(Phylum)Cyanobacteria"
"unclassified Luteimonas","(Genus)Luteimonas"
"unclassified Ruania","(Genus)Ruania"
"unclassified Leclercia","(Genus)Leclercia"
"unclassified Actinomyces","(Genus)Actinomyces"
"unclassified Actinomadura","(Genus)Actinomadura"
"unclassified Kitasatospora","(Genus)Kitasatospora"
"Tenericutes incertae sedis","(Phylum)Tenericutes"
"unclassified Pseudarthrobacter","(Genus)Pseudarthrobacter"
"unclassified Firmicutes sensu stricto incertae sedis","(Phylum)Firmicutes"
"unclassified Martelella","(Genus)Martelella"
"unclassified Dokdonia","(Genus)Dokdonia"
"unclassified Curtobacterium","(Genus)Curtobacterium"
"unclassified Bacillus (in: Bacteria)","(Genus)Bacillus"
"unclassified Bradyrhizobium","(Genus)Bradyrhizobium"
"unclassified Myroides","(Genus)Myroides"
"unclassified Serratia","(Genus)Serratia"
"unclassified Rathayibacter","(Genus)Rathayibacter"
"unclassified Enterobacteriaceae","(Family)Enterobacteriaceae"
"Halanaerobiales incertae sedis","(Order)Halanaerobiales"
"unclassified Cellulophaga","(Genus)Cellulophaga"
"unclassified Comamonas","(Genus)Comamonas"
"unclassified Verrucomicrobia Spartobacteria","(Phylum)Verrucomicrobia"
"unclassified Salinibacterium","(Genus)Salinibacterium"
"unclassified Cyanobium","(Genus)Cyanobium"
"unclassified Chryseobacterium","(Genus)Chryseobacterium"
"Tissierellia incertae sedis","(Class)Tissierellia"
"unclassified Polaromonas","(Genus)Polaromonas"
"unclassified Marinobacter","(Genus)Marinobacter"
"unclassified Sporosarcina","(Genus)Sporosarcina"
"unclassified Microvirga","(Genus)Microvirga"
"Micrococcales incertae sedis","(Order)Micrococcales"
"unclassified Polaribacter","(Genus)Polaribacter"
"unclassified Aquimarina","(Genus)Aquimarina"
"unclassified Desulfovibrio","(Genus)Desulfovibrio"
"unclassified Rhodococcus","(Genus)Rhodococcus"
"unclassified Cohnella","(Genus)Cohnella"
"unclassified Plantibacter","(Genus)Plantibacter"
"unclassified Candidatus Arthromitus","(Genus)Candidatus Arthromitus"
"Hyphomicrobiales incertae sedis","(Order)Hyphomicrobiales"
"unclassified Polymorphobacter","(Genus)Polymorphobacter"
"unclassified Capnocytophaga","(Genus)Capnocytophaga"
"unclassified Brevibacterium","(Genus)Brevibacterium"
"unclassified Olleya","(Genus)Olleya"
"unclassified Variovorax","(Genus)Variovax"
"unclassified Vibrio","(Genus)Vibrio"
"unclassified Lactococcus","(Genus)Lactococcus"
"unclassified Leisingera","(Genus)Leisingera"
"unclassified Mycolicibacterium","(Genus)Mycolicibacterium"
"unclassified Clostridium","(Genus)Clostridium"
"unclassified Azospira","(Genus)Azospira"
"unclassified Massilia","(Genus)Massilia"
"unclassified Aminobacter","(Genus)Aminobacter"
"unclassified Blattabacterium","(Genus)Blattabacterium"
"unclassified Cellulosimicrobium","(Genus)Cellulosimicrobium"
"unclassified Alteromonas","(Genus)Alteromonas"
"Enterobacteriaceae incertae sedis","(Family)Enterobacteriaceae"
"unclassified Thermosynechococcus","(Genus)Thermosynechococcus"
"unclassified Janthinobacterium","(Genus)Janthinobacterium"
"unclassified Pedobacter","(Genus)Pedobacter"
"unclassified Hydrogenophaga","(Genus)Hydrogenophaga"
"Alphaproteobacteria incertae sedis","(Class)Alphaproteobacteria"
"unclassified Selenomonas","(Genus)Selenomonas"
"unclassified Bacteria","(Kingdom)Bacteria"
"unclassified Brucella","(Genus)Brucella"
"unclassified Deinococcus","(Genus)Deinococcus"
"unclassified Hydrogenobaculum","(Genus)Hydrogenobaculum"
"unclassified Stenotrophomonas","(Genus)Stenotrophomonas"
"unclassified Geobacter","(Genus)Geobacter"
"unclassified Geobacillus","(Genus)Geobacillus"
"unclassified Aeromonas","(Genus)Aeromonas"
"unclassified Undibacterium","(Genus)Undibacterium"
"unclassified Firmicutes sensu stricto","(Phylum)Firmicutes"
"unclassified Roseovarius","(Genus)Roseovarius"
"unclassified Sphingomonas","(Genus)Sphingomonas"
"unclassified Sphingorhabdus","(Genus)Sphingorhabdus"
"unclassified Spirosoma","(Genus)Spirosoma"
"unclassified Nonlabens","(Genus)Nonlabens"
"unclassified Oscillibacter","(Genus)Oscillibacter"
"unclassified Rhizobium","(Genus)Rhizobium"
"unclassified Brevundimonas","(Genus)Brevundimonas"
"unclassified Candidatus Saccharibacteria","(Phylum)Candidatus Saccharibacteria"
"Thermoanaerobacterales Family III. Incertae Sedis","(Order)Thermoanaerobacterales"
"unclassified Chloroflexi incertae sedis","(Phylum)Chloroflexi"
"unclassified Streptococcus","(Genus)Streptococcus"
"unclassified Dehalococcoidia","(Class)Dehalococcoidia"
"unclassified Amycolatopsis","(Genus)Amycolatopsis"
"unclassified Brevibacillus","(Genus)Brevibacillus"
"unclassified Methylomonas","(Genus)Methylomonas"
"unclassified Devosia","(Genus)Devosia"
"unclassified Thermaerobacter","(Genus)Thermaerobacter"
"Bacteroidetes Order II. Incertae sedis","(Phylum)Bacteroidetes"
"unclassified Caballeronia","(Genus)Caballeronia"
"Gammaproteobacteria incertae sedis","(Class)Gammaproteobacteria"
"unclassified Psychrobacter","(Genus)Psychrobacter"
"Betaproteobacteria incertae sedis","(Class)Betaproteobacteria"
"unclassified Kosakonia","(Genus)Kosakonia"
"Eubacteriales incertae sedis","(Order)Eubacteriales"
"unclassified Plantactinospora","(Genus)Plantactinospora"
"unclassified Hymenobacter","(Genus)Hymenobacter"
"Oscillatoriales incertae sedis","(Order)Oscillatoriales"
"unclassified Achromobacter","(Genus)Achromobacter"
"unclassified Holosporaceae","(Family)Holosporaceae"
"unclassified Halomonas","(Genus)Halomonas"
"unclassified Sphingobium","(Genus)Sphingobium"
"unclassified Helicobacter","(Genus)Helicobacter"
"unclassified Sphingobacterium","(Genus)Sphingobacterium"
"unclassified Moritella","(Genus)Moritella"
"unclassified Tenacibaculum","(Genus)Tenacibaculum"
"unclassified Pseudonocardia","(Genus)Pseudonocardia"
"unclassified Apibacter","(Genus)Apibacter"
